,0
0,1e-13
1,1.5264179671752364e-13
2,2.329951810515372e-13
3,3.556480306223136e-13
4,5.428675439323859e-13
5,8.28642772854686e-13
6,1.2648552168552957e-12
7,1.9306977288832537e-12
8,2.9470517025518096e-12
9,4.498432668969453e-12
10,6.866488450042998e-12
11,1.0481131341546874e-11
12,1.5998587196060573e-11
13,2.4420530945486546e-11
14,3.727593720314938e-11
15,5.689866029018305e-11
16,8.68511373751352e-11
17,1.3257113655901109e-10
18,2.0235896477251556e-10
19,3.088843596477485e-10
20,4.71486636345739e-10
21,7.196856730011529e-10
22,1.0985411419875617e-09
23,1.67683293681101e-09
24,2.559547922699533e-09
25,3.906939937054621e-09
26,5.963623316594661e-09
27,9.102981779915227e-09
28,1.3894954943731388e-08
29,2.1209508879201927e-08
30,3.237457542817647e-08
31,4.9417133613238385e-08
32,7.543120063354623e-08
33,1.1513953993264481e-07
34,1.757510624854793e-07
35,2.6826957952797275e-07
36,4.0949150623804273e-07
37,6.250551925273976e-07
38,9.540954763499944e-07
39,1.4563484775012444e-06
40,2.2229964825261954e-06
41,3.3932217718953298e-06
42,5.179474679231212e-06
43,7.906043210907702e-06
44,1.2067926406393314e-05
45,1.8420699693267162e-05
46,2.8117686979742365e-05
47,4.291934260128778e-05
48,6.551285568595523e-05
49,0.0001
