,0
0,1e-09
1,1.2648552168552958e-09
2,1.5998587196060573e-09
3,2.0235896477251556e-09
4,2.559547922699533e-09
5,3.23745754281764e-09
6,4.094915062380419e-09
7,5.179474679231202e-09
8,6.551285568595496e-09
9,8.28642772854686e-09
10,1.0481131341546852e-08
11,1.3257113655901108e-08
12,1.67683293681101e-08
13,2.1209508879201927e-08
14,2.682695795279727e-08
15,3.3932217718953296e-08
16,4.291934260128778e-08
17,5.4286754393238595e-08
18,6.866488450042998e-08
19,8.68511373751352e-08
20,1.0985411419875573e-07
21,1.389495494373136e-07
22,1.757510624854793e-07
23,2.2229964825261955e-07
24,2.811768697974231e-07
25,3.5564803062231287e-07
26,4.498432668969444e-07
27,5.689866029018304e-07
28,7.196856730011529e-07
29,9.102981779915227e-07
30,1.151395399326448e-06
31,1.4563484775012444e-06
32,1.8420699693267164e-06
33,2.3299518105153717e-06
34,2.94705170255181e-06
35,3.727593720314938e-06
36,4.71486636345739e-06
37,5.963623316594637e-06
38,7.5431200633546225e-06
39,9.540954763499944e-06
40,1.2067926406393289e-05
41,1.5264179671752335e-05
42,1.9306977288832496e-05
43,2.4420530945486497e-05
44,3.0888435964774846e-05
45,3.906939937054621e-05
46,4.9417133613238384e-05
47,6.250551925273976e-05
48,7.906043210907701e-05
49,0.0001
