,0
0,1e-09
1,1.1233240329780266e-09
2,1.2618568830660185e-09
3,1.4174741629268078e-09
4,1.5922827933410938e-09
5,1.7886495290574351e-09
6,2.009233002565046e-09
7,2.257019719633917e-09
8,2.535364493970117e-09
9,2.848035868435805e-09
10,3.1992671377973846e-09
11,3.5938136638046257e-09
12,4.0370172585965495e-09
13,4.534878508128591e-09
14,5.094138014816386e-09
15,5.72236765935022e-09
16,6.428073117284319e-09
17,7.2208090183854565e-09
18,8.111308307896856e-09
19,9.111627561154905e-09
20,1.0235310218990269e-08
21,1.1497569953977357e-08
22,1.2915496650148827e-08
23,1.4508287784959402e-08
24,1.6297508346206433e-08
25,1.8307382802953696e-08
26,2.0565123083486514e-08
27,2.310129700083158e-08
28,2.5950242113997372e-08
29,2.9150530628251758e-08
30,3.274549162877732e-08
31,3.678379771828634e-08
32,4.132012400115334e-08
33,4.641588833612782e-08
34,5.2140082879996844e-08
35,5.857020818056673e-08
36,6.579332246575682e-08
37,7.390722033525775e-08
38,8.302175681319736e-08
39,9.3260334688322e-08
40,1.0476157527896662e-07
41,1.1768119524349991e-07
42,1.3219411484660288e-07
43,1.4849682622544636e-07
44,1.668100537200059e-07
45,1.873817422860383e-07
46,2.104904144512022e-07
47,2.3644894126454072e-07
48,2.656087782946684e-07
49,2.98364724028334e-07
50,3.3516026509388407e-07
51,3.764935806792471e-07
52,4.229242874389499e-07
53,4.7508101621027934e-07
54,5.336699231206302e-07
55,5.994842503189409e-07
56,6.734150657750828e-07
57,7.564633275546291e-07
58,8.497534359086439e-07
59,9.545484566618327e-07
60,1.0722672220103232e-06
61,1.2045035402587836e-06
62,1.3530477745798075e-06
63,1.519911082952933e-06
64,1.7073526474706886e-06
65,1.917910261672489e-06
66,2.1544346900318865e-06
67,2.4201282647943835e-06
68,2.71858824273294e-06
69,3.0538555088334123e-06
70,3.430469286314919e-06
71,3.853528593710527e-06
72,4.328761281083061e-06
73,4.862601580065354e-06
74,5.4622772176843374e-06
75,6.135907273413164e-06
76,6.892612104349695e-06
77,7.742636826811277e-06
78,8.697490026177835e-06
79,9.770099572992246e-06
80,1.0974987654930568e-05
81,1.2328467394420658e-05
82,1.3848863713938717e-05
83,1.5556761439304724e-05
84,1.747528400007683e-05
85,1.9630406500402726e-05
86,2.2051307399030455e-05
87,2.4770763559917088e-05
88,2.782559402207126e-05
89,3.1257158496882356e-05
90,3.511191734215127e-05
91,3.944206059437656e-05
92,4.430621457583878e-05
93,4.977023564332114e-05
94,5.590810182512223e-05
95,6.280291441834246e-05
96,7.054802310718646e-05
97,7.92482898353917e-05
98,8.902150854450393e-05
99,0.0001
