,0
0,1e-08
1,2e-08
2,3.0000000000000004e-08
3,4e-08
4,5e-08
5,6e-08
6,7e-08
7,8e-08
8,9e-08
9,1e-07
10,1.0999999999999999e-07
11,1.2000000000000002e-07
12,1.3000000000000003e-07
13,1.4e-07
14,1.5000000000000002e-07
15,1.6e-07
16,1.7000000000000001e-07
17,1.8000000000000002e-07
18,1.9e-07
19,2.0000000000000002e-07
20,2.1e-07
21,2.2e-07
22,2.3000000000000002e-07
23,2.4e-07
24,2.5000000000000004e-07
25,2.6e-07
26,2.7e-07
27,2.8e-07
28,2.9000000000000003e-07
29,3.0000000000000004e-07
30,3.1e-07
31,3.2e-07
32,3.3e-07
33,3.4000000000000003e-07
34,3.5000000000000004e-07
35,3.6e-07
36,3.7e-07
37,3.8e-07
38,3.9e-07
39,4.0000000000000003e-07
40,4.1e-07
41,4.2e-07
42,4.3e-07
43,4.4e-07
44,4.5000000000000003e-07
45,4.6000000000000004e-07
46,4.7e-07
47,4.8e-07
48,4.900000000000001e-07
49,5e-07
50,5.1e-07
51,5.2e-07
52,5.3e-07
53,5.4e-07
54,5.5e-07
55,5.6e-07
56,5.7e-07
57,5.800000000000001e-07
58,5.900000000000001e-07
59,6e-07
60,6.1e-07
61,6.2e-07
62,6.3e-07
63,6.4e-07
64,6.5e-07
65,6.6e-07
66,6.7e-07
67,6.800000000000001e-07
68,6.900000000000001e-07
69,7.000000000000001e-07
70,7.1e-07
71,7.2e-07
72,7.3e-07
73,7.4e-07
74,7.5e-07
75,7.6e-07
76,7.7e-07
77,7.8e-07
78,7.900000000000001e-07
79,8.000000000000001e-07
80,8.1e-07
81,8.2e-07
82,8.3e-07
83,8.4e-07
84,8.5e-07
85,8.6e-07
86,8.7e-07
87,8.8e-07
88,8.900000000000001e-07
89,9.000000000000001e-07
90,9.100000000000001e-07
91,9.2e-07
92,9.3e-07
93,9.4e-07
94,9.5e-07
95,9.6e-07
96,9.7e-07
97,9.8e-07
98,9.899999999999998e-07
