,0
0,1e-07
1,2e-07
2,3e-07
3,4e-07
4,5e-07
5,6e-07
6,7e-07
7,8e-07
8,9e-07
9,1e-06
10,1.1e-06
11,1.2e-06
12,1.2999999999999998e-06
13,1.3999999999999997e-06
14,1.5e-06
15,1.6e-06
16,1.6999999999999998e-06
17,1.7999999999999997e-06
18,1.9e-06
19,2e-06
20,2.1e-06
21,2.1999999999999997e-06
22,2.3e-06
23,2.4e-06
24,2.4999999999999998e-06
25,2.5999999999999997e-06
26,2.6999999999999996e-06
27,2.8e-06
28,2.8999999999999998e-06
29,2.9999999999999997e-06
30,3.1e-06
31,3.2e-06
32,3.2999999999999997e-06
33,3.3999999999999996e-06
34,3.4999999999999995e-06
35,3.6e-06
36,3.6999999999999997e-06
37,3.7999999999999996e-06
38,3.9e-06
39,4e-06
40,4.1e-06
41,4.2e-06
42,4.2999999999999995e-06
43,4.399999999999999e-06
44,4.5e-06
45,4.6e-06
46,4.7e-06
47,4.8e-06
48,4.9e-06
49,4.9999999999999996e-06
50,5.0999999999999995e-06
51,5.199999999999999e-06
52,5.299999999999999e-06
53,5.4e-06
54,5.5e-06
55,5.6e-06
56,5.7e-06
57,5.7999999999999995e-06
58,5.899999999999999e-06
59,5.999999999999999e-06
60,6.1e-06
61,6.2e-06
62,6.3e-06
63,6.4e-06
64,6.5e-06
65,6.5999999999999995e-06
66,6.699999999999999e-06
67,6.799999999999999e-06
68,6.899999999999999e-06
69,7e-06
70,7.1e-06
71,7.2e-06
72,7.2999999999999996e-06
73,7.3999999999999995e-06
74,7.499999999999999e-06
75,7.599999999999999e-06
76,7.7e-06
77,7.8e-06
78,7.9e-06
79,8e-06
80,8.1e-06
81,8.200000000000001e-06
82,8.3e-06
83,8.400000000000001e-06
84,8.5e-06
85,8.6e-06
86,8.7e-06
87,8.8e-06
88,8.900000000000001e-06
89,9e-06
90,9.100000000000001e-06
91,9.2e-06
92,9.3e-06
93,9.4e-06
94,9.5e-06
95,9.6e-06
96,9.7e-06
97,9.800000000000001e-06
98,9.9e-06
99,1e-05
100,1.1000000000000001e-05
101,1.2000000000000002e-05
102,1.3000000000000003e-05
103,1.4000000000000003e-05
104,1.5000000000000004e-05
105,1.6000000000000003e-05
106,1.7000000000000007e-05
107,1.8000000000000004e-05
108,1.9000000000000008e-05
109,2.0000000000000005e-05
110,2.100000000000001e-05
111,2.2000000000000006e-05
112,2.300000000000001e-05
113,2.4000000000000007e-05
114,2.500000000000001e-05
115,2.600000000000001e-05
116,2.7000000000000013e-05
117,2.800000000000001e-05
118,2.9000000000000014e-05
119,3.000000000000001e-05
120,3.1000000000000015e-05
121,3.200000000000001e-05
122,3.3000000000000016e-05
123,3.400000000000001e-05
124,3.500000000000002e-05
125,3.6000000000000014e-05
126,3.700000000000002e-05
127,3.8000000000000016e-05
128,3.900000000000002e-05
129,4.000000000000002e-05
130,4.100000000000002e-05
131,4.200000000000002e-05
132,4.3000000000000015e-05
133,4.400000000000002e-05
134,4.500000000000002e-05
135,4.600000000000002e-05
136,4.700000000000002e-05
137,4.800000000000002e-05
138,4.9000000000000026e-05
139,5.000000000000002e-05
140,5.100000000000002e-05
141,5.2000000000000024e-05
142,5.300000000000003e-05
143,5.4000000000000025e-05
144,5.500000000000002e-05
145,5.6000000000000026e-05
146,5.700000000000003e-05
147,5.800000000000003e-05
148,5.9000000000000025e-05
149,6.000000000000003e-05
150,6.100000000000003e-05
151,6.200000000000003e-05
152,6.300000000000003e-05
153,6.400000000000004e-05
154,6.500000000000003e-05
155,6.600000000000003e-05
156,6.700000000000003e-05
157,6.800000000000004e-05
158,6.900000000000004e-05
159,7.000000000000003e-05
160,7.100000000000003e-05
161,7.200000000000004e-05
162,7.300000000000004e-05
163,7.400000000000004e-05
164,7.500000000000003e-05
165,7.600000000000003e-05
166,7.700000000000004e-05
167,7.800000000000004e-05
168,7.900000000000004e-05
169,8.000000000000005e-05
