,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
0,100.97272522681273,2.088945663778534e-09,1.4314755956331168e-09,1.0906623614797972e-09,8.811494088952969e-10,7.392561853755503e-10,6.367865570582801e-10,5.593112452817887e-10,4.986791886237318e-10,4.499361536298093e-10,4.098972085947317e-10,3.76422189994689e-10,3.4801856393610017e-10,3.236161059055533e-10,3.024245795077212e-10,2.8384903376297057e-10,2.6743350496272163e-10,2.5282220439735277e-10,2.39732709985976e-10,2.2794079474243815e-10,2.1725873704458366e-10,2.0754032492175656e-10,1.9866005630145224e-10,1.9051335800257944e-10,1.8301323976699354e-10,1.7608696053206952e-10,1.6966803887045375e-10,1.6370579661508923e-10,1.5815150393965173e-10,1.529650419156046e-10,1.481111296006896e-10,1.4355829564040188e-10,1.3928012040247587e-10,1.3525216069406433e-10,1.3145361688581533e-10,1.2786450423025715e-10,1.2446977276496532e-10,1.2125042056161053e-10,1.1819671988267535e-10,1.152944703565214e-10,1.1253325459554253e-10,1.0990325317683364e-10,1.0739503563437155e-10,1.0500003402327888e-10,1.0271102594397799e-10,1.0052123119871949e-10,9.842469630223977e-11,9.641456554141328e-11,9.448582015211312e-11,9.263513762258281e-11,9.085620628862971e-11,8.914551806769724e-11,8.749891054381767e-11,8.591344321757375e-11,8.438622267257647e-11,8.29118193972724e-11,8.148970472357512e-11,8.011510593046964e-11,7.878917159857908e-11,7.750553003004243e-11,7.626516827081687e-11,7.506439168057498e-11,7.390133465945575e-11,7.277649720074887e-11,7.168173190226229e-11,7.062405627638295e-11,6.959726130220103e-11,6.859950397277162e-11,6.763039342809702e-11,6.669174293602494e-11,6.577567340047058e-11,6.488695765770638e-11,6.402118910819558e-11,6.318009122375978e-11,6.236111195404058e-11,6.156361049327264e-11,6.07866833324609e-11,6.002985778664342e-11,5.929158965384175e-11,5.857268761675791e-11,5.787061018767073e-11,5.718623726003703e-11,5.651845532840414e-11,5.586626024640282e-11,5.522904921383987e-11,5.460706070427314e-11,5.3999213998891506e-11,5.3405633552968804e-11,5.2824343454478533e-11,5.225720317649359e-11,5.170181572429339e-11,5.115813049683997e-11,5.062780953833341e-11,5.010645818938115e-11,4.959737626255238e-11,4.9098581215341356e-11,4.86070524814321e-11,4.813146888366934e-11,4.7662327739151275e-11
1,5.229551047440512e-12,108.44063043631824,107.54825620058784,1.0955149443454153e-09,8.824936589046183e-10,7.398520148104579e-10,6.371063842507986e-10,5.59504285511818e-10,4.988054008455972e-10,4.500234117900029e-10,4.0996052461334415e-10,3.7646925888692525e-10,3.4805534104102935e-10,3.2364498329955547e-10,3.0244792690988976e-10,2.838679751873697e-10,2.6744939757726477e-10,2.528363157006093e-10,2.397440539138931e-10,2.2794922977060879e-10,2.1726741518357793e-10,2.0754792242015303e-10,1.9866652047349026e-10,1.9051911349361052e-10,1.8301875921453856e-10,1.7609073200103898e-10,1.6967221213829346e-10,1.6370913480659123e-10,1.5815443516551266e-10,1.5296763440727593e-10,1.4811371556502746e-10,1.4356088043521103e-10,1.392826558634272e-10,1.352537194497174e-10,1.314558009781099e-10,1.2786654172623514e-10,1.244704367483335e-10,1.2125192765076967e-10,1.1819807646377834e-10,1.152959830608809e-10,1.1253486553650511e-10,1.0990447025367395e-10,1.073959887257996e-10,1.0500106067797342e-10,1.02712516066788e-10,1.0052258956890615e-10,9.842557337824858e-11,9.641615736612172e-11,9.448736135622568e-11,9.263606781624968e-11,9.085705534141357e-11,8.914577599174716e-11,8.74996520650929e-11,8.591517247775011e-11,8.438656900557797e-11,8.291227432681957e-11,8.148984388886116e-11,8.011709052969841e-11,7.878993480347846e-11,7.7507314858922e-11,7.626617897323893e-11,7.50650269574853e-11,7.390217935557277e-11,7.277526642864978e-11,7.168369417220735e-11,7.062475644328437e-11,6.959693516466327e-11,6.85998055157418e-11,6.763132419600052e-11,6.668986555044199e-11,6.577577374978324e-11,6.48865870661899e-11,6.402150959540563e-11,6.318166587805227e-11,6.236104715463827e-11,6.156381471880194e-11,6.078700957004422e-11,6.003002644067502e-11,5.929203416666387e-11,5.857289035432306e-11,5.787061998822801e-11,5.71857934621894e-11,5.651904720877334e-11,5.5865978003437816e-11,5.5229192390948226e-11,5.460730681712027e-11,5.399901874316696e-11,5.3405670046538035e-11,5.282437435275623e-11,5.2257455493763314e-11,5.17020531443327e-11,5.1158489375107817e-11,5.0626995036575685e-11,5.0106626797973323e-11,4.9596957464323545e-11,4.909836136782073e-11,4.8610098250106704e-11,4.813202925999139e-11,4.766367571729335e-11
2,4.897705928585274e-12,110.20071886691039,109.42621866166063,108.69629553635939,108.00550270530375,7.416958008638853e-10,6.37846896463332e-10,5.598863232428841e-10,4.990294177863979e-10,4.5016697182260113e-10,4.1005750076842784e-10,3.7653880551069684e-10,3.481065985854077e-10,3.2368364475175764e-10,3.0247835608270496e-10,2.8389226190774865e-10,2.6746891687596274e-10,2.5285163015788255e-10,2.3975737734229425e-10,2.2796030384601433e-10,2.1727695429128954e-10,2.0755606344218474e-10,1.9867385881620603e-10,1.9052513910299048e-10,1.8302401700179425e-10,1.7609601292643713e-10,1.6967673964591495e-10,1.637132438057621e-10,1.5815813077322325e-10,1.5297097170126585e-10,1.4811672893223139e-10,1.4356411263009557e-10,1.3928527114002938e-10,1.3525678451209266e-10,1.3145775575644913e-10,1.2786830845089098e-10,1.2447220979961532e-10,1.2125362347001615e-10,1.1819931577268855e-10,1.1529735077664731e-10,1.1253562826589293e-10,1.0990585867033052e-10,1.0739742853676014e-10,1.050021334437152e-10,1.0271330312009345e-10,1.0052352457921305e-10,9.842626326803389e-11,9.641639447969062e-11,9.448829597614657e-11,9.263617678144468e-11,9.085774570815975e-11,8.914690838221877e-11,8.750059195142414e-11,8.591439157375289e-11,8.438647885838422e-11,8.291361686982501e-11,8.149038350523713e-11,8.01169854620949e-11,7.879103600640685e-11,7.750789131376135e-11,7.626644858696943e-11,7.506536254160416e-11,7.390272822602794e-11,7.277578811125012e-11,7.168390394667337e-11,7.062477311346919e-11,6.959716666065241e-11,6.859966957139859e-11,6.763138589112323e-11,6.669063657114007e-11,6.577595517515856e-11,6.488664802762706e-11,6.40230389277955e-11,6.318065019425214e-11,6.236114115513742e-11,6.156435652855278e-11,6.078696099519544e-11,6.002996076720738e-11,5.929244142262359e-11,5.857299377011466e-11,5.787159236688244e-11,5.7186330565240934e-11,5.651839534943674e-11,5.586573261562328e-11,5.5229628302459746e-11,5.46069541278937e-11,5.399948165238671e-11,5.340572151093486e-11,5.2824970954886667e-11,5.2257366128198546e-11,5.1701886083295094e-11,5.1158662227146876e-11,5.0627079570297034e-11,5.0106603608472604e-11,4.9597173819457465e-11,4.909875717791936e-11,4.861019566657694e-11,4.813156524491867e-11,4.7662957449483916e-11
3,4.8223486187499464e-12,4.876474108035702e-12,110.24780565189758,109.59687782653155,108.97869126653775,108.39506471597637,6.402824222592226e-10,5.607397850338142e-10,4.994564552799286e-10,4.50414515924863e-10,4.1021482917002893e-10,3.7664447073446004e-10,3.4818160771755657e-10,3.2373910627343634e-10,3.0251965666129126e-10,2.83924764885565e-10,2.674945920863425e-10,2.528722156955417e-10,2.397744952430097e-10,2.279745950271334e-10,2.1728885607445429e-10,2.0756619495152827e-10,1.986821322400623e-10,1.9053317053983122e-10,1.8303057372244326e-10,1.7610127535397094e-10,1.6968166187927515e-10,1.6371736823282912e-10,1.5816211548154256e-10,1.5297435878965317e-10,1.4811974205404777e-10,1.4356673559529512e-10,1.392878500157737e-10,1.3525879201257057e-10,1.3146012277161122e-10,1.2787031202538045e-10,1.2447394479116497e-10,1.2125536693325547e-10,1.1820118516077692e-10,1.1529848891016602e-10,1.1253719573611308e-10,1.0990690670530873e-10,1.0739834512488982e-10,1.0500324365879581e-10,1.0271425285817619e-10,1.0052474467275402e-10,9.8427180414174e-11,9.64171298378086e-11,9.44889746040995e-11,9.263698714301979e-11,9.08583952447005e-11,8.914768394052006e-11,8.75009378822067e-11,8.591512823843005e-11,8.438706922961959e-11,8.291322465732749e-11,8.149094637834572e-11,8.011654004155228e-11,7.879147503031684e-11,7.750776146344729e-11,7.626709992819149e-11,7.506597663431028e-11,7.390296158980013e-11,7.277627434170769e-11,7.16844058420619e-11,7.062507022659839e-11,6.959820333534296e-11,6.860043972682671e-11,6.763168741272412e-11,6.669082117877433e-11,6.577602291854153e-11,6.488716265610663e-11,6.402248135841654e-11,6.31811125967284e-11,6.236184252849598e-11,6.156447256228362e-11,6.07874270138844e-11,6.002932033895129e-11,5.929281802281457e-11,5.857319531489499e-11,5.787158434525568e-11,5.718708979376902e-11,5.6518893893427113e-11,5.5866560573455446e-11,5.522959295112942e-11,5.46072472539708e-11,5.399984819936372e-11,5.3406117200037825e-11,5.2824975418152654e-11,5.22572449465888e-11,5.170209750530467e-11,5.115875985970371e-11,5.062642877547938e-11,5.01069335655461e-11,4.9597551265862773e-11,4.909907111282229e-11,4.861041783494356e-11,4.8132263454476384e-11,4.7663018788159185e-11
4,4.779069339369614e-12,4.809738256944766e-12,4.865976855161379e-12,110.10824325990126,109.54808529306733,109.01014702547296,108.49794189981961,5.641561180869451e-10,5.003988126535655e-10,4.5087058497964023e-10,4.104770139518412e-10,3.7681052710814437e-10,3.482934739501644e-10,3.2381803658178317e-10,3.025778099775924e-10,2.8396847941142884e-10,2.675284344700022e-10,2.528991786046401e-10,2.3979605004728994e-10,2.2799219146089267e-10,2.1730349134977171e-10,2.0757834174419714e-10,1.9869247467848234e-10,1.9054163932830516e-10,1.83038128532714e-10,1.7610775755500318e-10,1.6968736459989502e-10,1.6372263726076103e-10,1.5816650142972126e-10,1.529785382860344e-10,1.481234819469472e-10,1.435696841615001e-10,1.3929109035885412e-10,1.3526195286320885e-10,1.3146222521824733e-10,1.278725009260406e-10,1.2447581594479235e-10,1.2125728478703646e-10,1.1820276434176188e-10,1.1530040786233004e-10,1.1253861708866699e-10,1.0990845233936478e-10,1.0739941606169789e-10,1.0500423791151206e-10,1.0271528190348499e-10,1.0052567423625011e-10,9.842809587734221e-11,9.641807468976001e-11,9.448969220768576e-11,9.263823044021941e-11,9.085914733188046e-11,8.914845974199715e-11,8.750177747357276e-11,8.591604225509263e-11,8.438761057299455e-11,8.291366642240487e-11,8.14914174782433e-11,8.011804476720909e-11,7.87910774763506e-11,7.750823308529572e-11,7.626746371921403e-11,7.506572210959661e-11,7.390371769261223e-11,7.277664093175121e-11,7.168421917201933e-11,7.062543427263317e-11,6.959784121789329e-11,6.860046513335991e-11,6.763215665658612e-11,6.669099359181906e-11,6.577638582874632e-11,6.48879740046416e-11,6.402265719094138e-11,6.318100961038007e-11,6.236200538192994e-11,6.156440467707627e-11,6.078769738361682e-11,6.003055158971303e-11,5.929282709504834e-11,5.857353608175929e-11,5.787169908727104e-11,5.7186891654543974e-11,5.651918319018466e-11,5.586669972557259e-11,5.523005715593324e-11,5.460773805273262e-11,5.399993161843549e-11,5.340590883922904e-11,5.282521843564034e-11,5.225728753980732e-11,5.170214376790415e-11,5.115912935257554e-11,5.062781280432764e-11,5.010700252980522e-11,4.959778821233232e-11,4.9098869626404766e-11,4.8610630539619275e-11,4.8132046734018955e-11,4.76632095510407e-11
5,4.732189707608097e-12,4.750052828759486e-12,4.801770734499144e-12,4.8616978870567335e-12,109.9149802741641,109.42242384080009,108.94473409403086,108.486168241279,107.95624324800501,4.5188415916733773e-10,4.109510953136655e-10,3.7708143726854313e-10,3.4846475616896734e-10,3.2393364132731254e-10,3.026595101864293e-10,2.8402842535303e-10,2.675738965890437e-10,2.5293414875280546e-10,2.398237963485884e-10,2.2801457655241743e-10,2.173215047068395e-10,2.0759339702039886e-10,1.9870513665360952e-10,1.9055230213305606e-10,1.8304723433108527e-10,1.7611549011839478e-10,1.696937506760872e-10,1.6372846965911998e-10,1.5817166769556185e-10,1.5298322837083954e-10,1.4812717232699236e-10,1.4357347992622825e-10,1.3929398902957456e-10,1.352650331683241e-10,1.3146490821776279e-10,1.2787490639357455e-10,1.2447819980036587e-10,1.2125912712616474e-10,1.1820434478886947e-10,1.1530202251541521e-10,1.1254022352184343e-10,1.0990983778740128e-10,1.0740086942830232e-10,1.0500545979497208e-10,1.027164042686205e-10,1.005263691017969e-10,9.842913914190443e-11,9.64191267921597e-11,9.449050666675502e-11,9.263900280411306e-11,9.085986327825953e-11,8.914865052187001e-11,8.750290736892976e-11,8.591643153555166e-11,8.438779321644192e-11,8.291435023122312e-11,8.14917822383843e-11,8.011858861648873e-11,7.879207125946508e-11,7.750887463996366e-11,7.626785085768626e-11,7.506601367980832e-11,7.390397604480053e-11,7.27770455139174e-11,7.168494020865676e-11,7.062586598163124e-11,6.959822151609884e-11,6.860087597612943e-11,6.763233069470874e-11,6.669129545735304e-11,6.577668375585565e-11,6.488783211770172e-11,6.40228859010779e-11,6.318138297600578e-11,6.236245771871603e-11,6.156478007652209e-11,6.078805548024518e-11,6.003092850109154e-11,5.929300489210687e-11,5.85737382072574e-11,5.787189993588665e-11,5.718726940429597e-11,5.651916743858595e-11,5.5867114484325847e-11,5.522969629171009e-11,5.460798707669506e-11,5.399989023207811e-11,5.340585784205404e-11,5.282523472222686e-11,5.225730604665912e-11,5.1702627089041105e-11,5.115851701506183e-11,5.0627825025169505e-11,5.010706333006673e-11,4.959764237055644e-11,4.90991489082558e-11,4.861081293101624e-11,4.813198416039046e-11,4.7663328790433006e-11
6,4.715010195608206e-12,4.727005077640095e-12,4.742641711653822e-12,4.7968046029650226e-12,4.8612622645169324e-12,109.7080603734465,109.2674787028856,108.83666538339894,108.42016470107025,107.99767069048228,4.120204146747503e-10,3.7756372006152824e-10,3.487382853609032e-10,3.241067982830296e-10,3.0277669754004473e-10,2.841116798800553e-10,2.676352315782018e-10,2.5298071248148026e-10,2.3985986592045945e-10,2.2804307046385218e-10,2.1734446880579183e-10,2.076120976048112e-10,1.987205131250637e-10,1.9056530007353509e-10,1.8305823600658694e-10,1.761250504741904e-10,1.6970218674355586e-10,1.6373563303516058e-10,1.5817769326447924e-10,1.5298833317997118e-10,1.4813204523562144e-10,1.4357762587409602e-10,1.392976948837302e-10,1.3526824503154296e-10,1.314678290120325e-10,1.2787837455784195e-10,1.2448051540751853e-10,1.2126143859836526e-10,1.182066052539941e-10,1.1530384919170963e-10,1.1254190696368575e-10,1.0991126405634421e-10,1.0740247251468518e-10,1.0500696692371487e-10,1.0271764610935296e-10,1.0052747963344753e-10,9.843028545485944e-11,9.642013937567957e-11,9.449144679206767e-11,9.263994553486622e-11,9.086064878757754e-11,8.914975814228061e-11,8.750312159035492e-11,8.591734981378413e-11,8.43889103584147e-11,8.291491014041172e-11,8.149229862640138e-11,8.011911215525899e-11,7.879236627852012e-11,7.750953782984505e-11,7.626813552410206e-11,7.506718210946941e-11,7.390415642166702e-11,7.277748026955773e-11,7.168540895057394e-11,7.062827805907974e-11,6.959872835479842e-11,6.86011411534737e-11,6.763256845714828e-11,6.669157064147504e-11,6.577719048012986e-11,6.488797491016203e-11,6.402316535805401e-11,6.318148508922899e-11,6.236227772842804e-11,6.156470745706201e-11,6.078786737146836e-11,6.00311571256474e-11,5.929353373397733e-11,5.857390003746769e-11,5.787216083737741e-11,5.718756124906589e-11,5.651934802912904e-11,5.5867265216977806e-11,5.522987752463984e-11,5.460827137085302e-11,5.400035165557174e-11,5.340626730400451e-11,5.28255405744356e-11,5.225788926914351e-11,5.170231062083628e-11,5.115913258744383e-11,5.06279891339537e-11,5.010727371406189e-11,4.959800186423299e-11,4.9099206820960425e-11,4.861070957392525e-11,4.813258948813517e-11,4.766348690199036e-11
7,4.702949430621235e-12,4.712675733128755e-12,4.7237422634113995e-12,4.738310410951386e-12,4.7935397606700605e-12,4.863543739604094e-12,109.50166273176781,109.1021769951151,108.70887505887254,108.32632502744269,107.94098720652984,3.7867291529936825e-10,3.492215724170907e-10,3.2437965262978296e-10,3.02949572726423e-10,2.8422903063071713e-10,2.677187434734298e-10,2.530424031852691e-10,2.399067995435409e-10,2.2807956082298836e-10,2.1737330106798466e-10,2.0763550193164636e-10,1.9873954081434734e-10,1.9058112272207255e-10,1.8307142028153644e-10,1.7613620875789527e-10,1.6971187449340808e-10,1.6374388979565822e-10,1.581847871898516e-10,1.5299471992008323e-10,1.4813748648580563e-10,1.4358254888931403e-10,1.3930219101629352e-10,1.3527206064856157e-10,1.314712298833174e-10,1.278807391223943e-10,1.2448335029120981e-10,1.2126406193742664e-10,1.1820880837303853e-10,1.1530587211806352e-10,1.1254394556289049e-10,1.0991300804304294e-10,1.074040661783413e-10,1.0500846035300687e-10,1.0271895748711054e-10,1.0052830826368637e-10,9.843147873178335e-11,9.642112032828132e-11,9.44925778880359e-11,9.264139605282473e-11,9.086156833908878e-11,8.915068220959216e-11,8.750379799468377e-11,8.591813120955123e-11,8.438961575034498e-11,8.291569212311608e-11,8.149310788675075e-11,8.01198364303823e-11,7.879257285411147e-11,7.750966432726363e-11,7.626886208917612e-11,7.506760558383603e-11,7.390459481621759e-11,7.277783425337653e-11,7.168572245842863e-11,7.062654205743844e-11,6.959929301243334e-11,6.860169381849354e-11,6.763313720644997e-11,6.66919848362042e-11,6.577734870403368e-11,6.488826488056357e-11,6.402323449857323e-11,6.318112990402734e-11,6.236278660739898e-11,6.156522075319967e-11,6.078837508969298e-11,6.003108512378184e-11,5.929350529039213e-11,5.857428472840212e-11,5.7872308914460656e-11,5.718767114705001e-11,5.6519760869533455e-11,5.5867312495900415e-11,5.5230351214838976e-11,5.4608404741442446e-11,5.400047581259598e-11,5.3406434229600486e-11,5.282565537564838e-11,5.225786736829052e-11,5.1702659358056466e-11,5.1159477761249655e-11,5.062714797033318e-11,5.010743549239431e-11,4.959827451096585e-11,4.9099306365417024e-11,4.8611110137037127e-11,4.813267390658318e-11,4.766376391990696e-11
8,4.693799611496975e-12,4.7020818433971684e-12,4.711066097995098e-12,4.721498940247608e-12,4.735347065725908e-12,4.7912490422749385e-12,4.868005797390781e-12,109.30107316795869,108.9348373814022,108.57223376577815,108.2176768654514,107.86048084037203,3.503535164109562e-10,3.248570931741648e-10,3.032183830280861e-10,2.8439982975280037e-10,2.6783520140229406e-10,2.5312564644390473e-10,2.3996847795557804e-10,2.2812664603543604e-10,2.1741000175193173e-10,2.076646509982529e-10,1.987633145783133e-10,1.9060035500148334e-10,1.830874633192509e-10,1.7614958617968202e-10,1.6972308643714336e-10,1.6375348602111145e-10,1.5819298489118536e-10,1.530017350316785e-10,1.4814394691488084e-10,1.4358811074774878e-10,1.393070658068673e-10,1.3527648611244709e-10,1.3147513042551622e-10,1.2788424308643123e-10,1.2448638492629637e-10,1.2126676158217346e-10,1.182112929020758e-10,1.1530820997171871e-10,1.1254613805407414e-10,1.0991503442722733e-10,1.0740570369994523e-10,1.0500996716104516e-10,1.0272056023467009e-10,1.0053032596200703e-10,9.843262948409133e-11,9.642231032847293e-11,9.449372689127044e-11,9.264187526522704e-11,9.086243182373494e-11,8.915133712278142e-11,8.750466888020957e-11,8.59188871890141e-11,8.438999442745379e-11,8.291624900003819e-11,8.14937930395187e-11,8.012024235545352e-11,7.8793109902778e-11,7.751013478452388e-11,7.62688208275952e-11,7.506811056239435e-11,7.390509416016467e-11,7.277829509000684e-11,7.168606869372052e-11,7.062684365016741e-11,6.959943441979114e-11,6.860184555907516e-11,6.763326676336181e-11,6.66922497692588e-11,6.57775768833473e-11,6.488854698565961e-11,6.402313421660083e-11,6.318232038342829e-11,6.236303195125021e-11,6.156553709504439e-11,6.078842750263786e-11,6.003167557934757e-11,5.929383063257453e-11,5.857416499547559e-11,5.7872616410922165e-11,5.718749863567371e-11,5.6519649101833165e-11,5.5867470056336296e-11,5.5230592837201045e-11,5.460824037581078e-11,5.400063427938059e-11,5.34062665417357e-11,5.282575807823499e-11,5.225791671397505e-11,5.170263069813981e-11,5.115949658952148e-11,5.0627938365110035e-11,5.0107418717256805e-11,4.959808616154754e-11,4.9099332047654605e-11,4.8611031654047337e-11,4.813248710144689e-11,4.766364650367669e-11
9,4.686592581033295e-12,4.693860172409381e-12,4.701514863372455e-12,4.710006682830869e-12,4.71998786008862e-12,4.733335322399407e-12,4.789540939629181e-12,4.8745107467269e-12,109.10812138207304,108.76929375460003,108.43227465733212,108.1011931727064,107.76676356876138,3.259927962437909e-10,3.036847507779836e-10,2.8466210877952227e-10,2.6800237841662985e-10,2.5324009630657847e-10,2.400507241346844e-10,2.281878832279609e-10,2.1745692404244207e-10,2.0770130318188706e-10,1.9879256489190204e-10,1.9062403385018704e-10,1.8310681784499562e-10,1.7616573739118735e-10,1.697368593920267e-10,1.6376484668552252e-10,1.582030214661205e-10,1.530103770689693e-10,1.481512088993554e-10,1.4359433025627081e-10,1.3931251438329812e-10,1.3528136833262596e-10,1.3147961500347321e-10,1.2788815354090358e-10,1.2448988895488196e-10,1.2126993543387586e-10,1.182142898910096e-10,1.1531085067945584e-10,1.125484049306196e-10,1.0991707916712946e-10,1.074075306152211e-10,1.0501186730629374e-10,1.0272206933398749e-10,1.0053142467336415e-10,9.843423536642873e-11,9.642333092734208e-11,9.449487578777673e-11,9.26430400088733e-11,9.086358356952467e-11,8.915249723198421e-11,8.750561608826314e-11,8.591961841070175e-11,8.439104603749698e-11,8.291702905795837e-11,8.149456083779887e-11,8.012090180757003e-11,7.879384889575402e-11,7.751081738597358e-11,7.626966704383032e-11,7.506867214833437e-11,7.390547991867138e-11,7.277862780933041e-11,7.16866401296528e-11,7.06273323318672e-11,6.95997735371824e-11,6.860234378453329e-11,6.763351487616488e-11,6.669268752323203e-11,6.577787740361875e-11,6.488872507033538e-11,6.402492805817339e-11,6.318252099174402e-11,6.236321883068443e-11,6.156576715551579e-11,6.078882005346161e-11,6.00319169096016e-11,5.92940235444573e-11,5.85743621379811e-11,5.7873019470065256e-11,5.7188107418883685e-11,5.6519930270314405e-11,5.586770281886832e-11,5.523073523528179e-11,5.460853296025137e-11,5.400038292392792e-11,5.3406713639960684e-11,5.2826067868806775e-11,5.2258162041388035e-11,5.170305627319599e-11,5.115967297542405e-11,5.0627921554099314e-11,5.0107545314937787e-11,4.959816400458745e-11,4.9099420613236944e-11,4.861123941743908e-11,4.8132519400771456e-11,4.7663369209733143e-11
